Lab_ID,Sample_ID,Site,System_ID,SYSTEM,DEPT,depth_cm,Soil_classification,Soil_classification2,Corg_clay_ratio,CLAY_percent,SILT_percent,SAND_percent,pH,EC,Canorg,Corg,Ntot,Corg_stocks_kg_m2,Ntot_stocks_kg_m2,soilCN_ratio,DOC,DOC_stocks_g_m2,DOC_Corg_ratio,Agg,CEC,Al_Dithionite,Mn_Dithionite,Fe_Dithionite,Al_Oxalate,Mn_Oxalate,Fe_Oxalate,Oxalate_Oxides,Dithionite_Oxides,bulk_density,Fe_Di_div_Fe_Ox,Corg_stocks_kg_m2_cm,Ntot_stocks_kg_m2_cm,DOC_stocks_g_m2_cm,Log_Corg_stocks_kg_m2,Log_DOC_stocks_g_m2,Log_Ntot_stocks_kg_m2,Log_Corg_clay_ratio,Log_EC,Log_Agg,Soil_classification_num,Log_Corg_stocks_kg_m2_cm,Log_Ntot_stocks_kg_m2_cm,Log_DOC_stocks_g_m2_cm
1015,Au2_St_1 pool,Au2,Standard,2,1,5.00,Moderate,Coarse,0.107362,11.885,19.307,68.807,6.808,44.800,0.000,1.276,0.093,0.983,0.072,13.72,295.672,22.767,0.023170,0.463,57.065,452.873,226.576,5140.637,621.553,292.956,1608.862,2230.415,5593.510,1.540,3.195,0.197,0.014,4.553,-0.007,1.357,-1.143,-0.969,1.651,-0.334,1.00,-0.71,-1.84,0.66
1033,Burg2_St_1 pool,Burg2,Standard,2,1,5.00,Moderate,Coarse,0.101722,11.325,22.076,66.599,6.924,58.000,0.000,1.152,0.075,0.870,0.057,15.36,155.718,11.757,0.013520,0.420,69.015,384.025,504.616,4862.489,575.196,290.710,2391.692,2966.888,5246.514,1.510,2.033,0.174,0.011,2.351,-0.060,1.070,-1.244,-0.993,1.763,-0.377,1.00,-0.76,-1.95,0.37
1069,Lack1_St_1 pool,Lack1,Standard,2,1,5.00,Moderate,Coarse,0.100490,8.359,29.260,62.381,6.267,32.300,0.000,0.840,0.050,0.550,0.033,16.80,224.065,14.676,0.026670,0.609,16.095,538.139,413.394,3381.392,662.201,510.108,1475.794,2137.995,3919.531,1.310,2.291,0.110,0.007,2.935,-0.260,1.167,-1.481,-0.998,1.509,-0.215,1.00,-0.96,-2.18,0.47
1087,Man1_St_1 pool,Man1,Standard,2,1,5.00,Moderate,Coarse,0.079264,19.681,27.279,53.040,7.288,56.600,0.450,1.560,0.150,1.108,0.107,10.40,157.259,11.165,0.010080,0.428,131.709,600.584,449.101,7869.638,858.032,607.016,2165.363,3023.395,8470.222,1.420,3.634,0.222,0.021,2.233,0.045,1.048,-0.971,-1.101,1.753,-0.369,1.00,-0.65,-1.67,0.35
1168,Ther_St_1 pool,Ther,Standard,2,1,5.00,Moderate,Coarse,0.236561,18.473,22.371,59.156,7.755,112.100,6.444,4.370,0.480,2.600,0.286,9.10,174.195,10.365,0.003990,0.742,279.639,647.529,341.090,7529.026,2940.855,119.142,1445.299,4386.154,8176.555,1.190,5.209,0.520,0.057,2.073,0.415,1.016,-0.544,-0.626,2.050,-0.130,1.00,-0.28,-1.24,0.32
997,Abs_St_1 pool,Abs,Standard,2,1,5.00,Fine,Fine,0.045734,51.384,37.201,11.415,7.840,113.500,1.174,2.350,0.148,1.657,0.104,15.88,129.465,9.127,0.005510,0.695,319.880,807.570,440.466,10636.363,1910.069,496.793,2087.038,3997.107,11443.933,1.410,5.096,0.331,0.021,1.826,0.219,0.960,-0.983,-1.340,2.055,-0.158,3.00,-0.48,-1.68,0.26
1006,Au1_St_1 pool,Au1,Standard,2,1,5.00,Moderate,Fine,0.152874,25.642,23.265,51.094,7.955,115.200,2.489,3.920,0.222,2.960,0.168,17.66,190.817,14.407,0.004870,0.980,249.327,352.599,217.974,3102.884,1081.647,235.203,1134.607,2216.254,3455.483,1.510,2.735,0.592,0.034,2.881,0.471,1.159,-0.775,-0.816,2.061,-0.009,3.00,-0.23,-1.47,0.46
1024,Burg1_St_1 pool,Burg1,Standard,2,1,5.00,Moderate,Fine,0.086796,23.273,25.574,51.153,7.137,70.000,0.000,2.020,0.146,1.323,0.096,13.84,178.591,11.698,0.008840,0.386,170.400,646.315,430.165,10483.721,1042.451,446.624,2205.238,3247.689,11130.036,1.310,4.754,0.265,0.019,2.340,0.122,1.068,-1.018,-1.062,1.845,-0.413,3.00,-0.58,-1.72,0.37
1096,Man2_St_1 pool,Man2,Standard,2,1,5.00,Moderate,Fine,0.086907,36.821,52.848,10.331,7.576,171.700,1.195,3.200,0.270,1.984,0.167,11.85,201.058,12.466,0.006280,0.534,312.357,861.500,391.105,9260.505,2122.840,404.961,3759.993,5882.833,10122.005,1.240,2.463,0.397,0.034,2.493,0.298,1.096,-0.777,-1.061,2.235,-0.272,3.00,-0.40,-1.47,0.40
1105,Moos1_St_1 pool,Moos1,Standard,2,1,5.00,Moderate,Fine,0.120493,34.110,45.889,20.001,7.545,190.000,6.150,4.110,0.320,2.877,0.224,12.84,270.878,18.961,0.006590,0.605,310.218,379.313,220.231,3073.726,1298.623,135.921,1354.615,2653.238,3453.039,1.400,2.269,0.575,0.045,3.792,0.459,1.278,-0.650,-0.919,2.279,-0.218,3.00,-0.24,-1.35,0.58
