LOCATION,,,QUALITATIVE SOIL ATTRIBUTES (www.bodenkarte.at),,,,,SITE DESCRIPTORS,,,,,Abbreviation,BoundingBox
Site,Longitude,Latitude,Soil Type (Austrian Classification),Soil Type (WRB),Carbonate content,Texture class,Value,System,pH (water),EC (mS),Corg (%),Canorg (%),,
Absdorf,48.405609°,15.972181°,Feuchtschwarzerde ,Calcaric Phaeozem,strong,uL-lT,high,Pioneer,7.8,130.8,2.79,1.30,Abs,"15.969363,48.405107,15.972641,48.406845 "
,,,,,,,,Standard,7.9,115.7,2.02,1.38,Abs,
,,,,,,,,Reference,7.9,180.5,4.81,0.67,Abs,
Au am Leithagebirge 1,47.931354°,16.528668°,Feuchtschwarzerde ,Calcaric Phaeozem,strong,uL-lT,intermediate-high,Pioneer,7.8,139.4,3.30,3.53,Au1,"16.529000,47.930621,16.533941,47.932141"
,,,,,,,,Standard,8.0,116.1,3.83,2.60,Au1,
,,,,,,,,Reference,7.1,164.4,4.75,2.64,Au1,
Au am Leithagebirge 2,47.922232°,16.571918°,Ranker,Leptosol,Free,lS,low,Pioneer,7.3,85.6,2.64,0.00,Au2,"16.569636,47.922123,16.574464,47.924409"
,,,,,,,,Standard,6.7,38.7,1.15,0.00,Au2,
,,,,,,,,Reference,7.1,102.4,3.77,0.00,Au2,
Groß Burgstall1 (toeslope),48.672057°,15.590890°,kalkhaltige Felsbraunerde,Leptic Cambisol,intermediate,lS-sL,high value,Pioneer,7.2,89.9,1.77,0.00,Burg1,"15.587282,48.669695,15.594256,48.672060"
,,,,,,,,Standard,7.1,65.1,2.05,0.00,Burg1,
,,,,,,,,Reference,6.0,47.1,3.65,0.00,Burg1,
Groß Burgstall2 (shoulder),48.672057°,15.590890°,kalkhaltige Felsbraunerde,Leptic Cambisol,intermediate,lS-sL,high value,Pioneer,7.1,92.1,1.97,0.00,Burg2,"15.587282,48.669695,15.594256,48.672060"
,,,,,,,,Standard,6.8,54.6,1.15,0.00,Burg2,
,,,,,,,,Reference,7.0,97.1,2.19,0.00,Burg2,
Eisgarn,48.921815°,15.101040°,kalkfreie Felsbraunerde,Leptic Cambisol ,Free,lS,intermediate,Pioneer,7.0,98.5,4.58,0.00,Eis,"15.099581,48.921329,15.102897,48.922855"
,,,,,,,,Standard,6.4,53.8,2.89,0.00,Eis,
,,,,,,,,Reference,6.4,52.9,4.34,0.00,Eis,
Fischamend,48.095994°,16.648570°,Tschernosem,Chernozem,strong,lU,high,Pioneer,7.9,166.8,1.65,1.28,Fischa,"16.644974,48.095994,16.651175,48.099378"
